i3-dab5| accepted; 
{d}nin-gal eresz mah nin {gesz}kim sa6-ga-zu he2-me-sze-sze| If you shall make Ningal, supreme queen, (the one of?) your good omen(?), amenable(?) 
dumu sze-li-li| son of szelili
im nam-ti-la-ke4 du-ri2-sze3 nu-kur2-ru mu-bi gub-ni| Enter this name on the tablet of life, which is never to be altered 
ARAD-er3-ra| Warad-Erra, 
sa2-du11 ku5-ra2| regular provisions, cut; 
{d}da-mi-iq-i3-li2-szu| “Damiq-ilišu 
i7 {d}nanna-hul2| that the Nanna Rejoices canal 
na-mi-gur-re| there is no recourse,
ur-{d}namma ku3-tuku mu-un-ba-al-e| Ur-Namma, the one who has silver, will dig here 
kiszib3 lu2-{gesz}gu-za dumu lu2-mah sag-ub3{ki}| under seal of Lu-guza, son of Lu-maḫ of Sagub
ig-x szu-a mu-ni-kesz2| the door with his/her hand bound, 
bu-ni-ir-ni| Bunirni,
1(disz) udu e2-unu{ki}-sze3| 1 sheep, House-of-Uruk; 
{d}nin-gesz-zi-da| of Ningešzida 
ur2 {gesz}ma2 tur-re {d}en-ki-ka3-ke4| The keel of Enki’s little boat 
ensi2| the governor 
ki ur-zu-ta| from Urzu, 
1(ban2) 5(disz) dumu lu2-{d}nin-szubur| 1 ban2 5 (sila3): the son of Lu-Ninšubur; 
an-gub-bu {d}lamma {d}KALxAN-sa6-ga e2-e sze-ga-ba| The tutelary god, the lamma spirit, lamasaga/Aladsaga(!?), the one who is agreeable in the temple 
{d}en-lil2| Enlil 
sze ur5-ra-sze3| as a barley loan 
i3-li2| for Ilī; 
igi {d}suen-ga-mil dumu na-ra-am-e2-a| before Sîn-gāmil, son of Narām-ea;
{d}nin-gir2-su-ra mu-na-du3-a| he had built for Ningirsu, 
e2 {d}en-ki-ke4 lal3-har-ra ku3 kurum7 ak| The temple of Enki is provisioned with silver wax (?); 
bara2 bara2 bara2 bara2 bara2 bara2 bara2| dias, dias, dias, dias, dias, dias, dias;
ma2-gid2| the tower of the boat 
bara2-he2-ni-du10| of Baraḫenidu, 
e2 an-ne2 ki-gar-ra| Temple founded by An 
{gesz}ig gal-gal erin-a| Large doors of cedar 
bara2 {d}utu| and a dais of Utu 
sza3 szeg9-bar-ra lu2 igi nu-bar-re-dam| lets nobody look into its midst. 
dumu szu-er3-ra| the son of Šū-Erra
ur-si| Ursi, 
ama-a-tu| and house-born servant
3(asz) 2/3(aszv) 5(asz) gin2| 3 2/3 shekels 5 (small-shekels) 
lugal-e e2 {d}suen-na-ke4| She has determined a fate for the king and the temple of Suen, 
lugal-e2-ni-sze3| Lugal-e-ni-še:
{d}ri-im-{d}suen en {d}dil-im2-babbar mu-ni bi2-in-sze21-a| Rīm-Sîn, named by lord Dilimbabbar 
szu-sze3 mu-un-dab5 ki-za nam-ba-an-tum2| He seized his hand(?) saying(?) he(? Enkidu) shall not dig your grave!(?) 
nig2-dab5 aga3 lugal ki lugal-dub-la2| nigdab(-offering) of the royal crown, with Lugal-dubla; 
sza3-gar-e iri{ki} a-gin7 ba-e-si ga2-la nu-um-ta-dag-ge| Starvation thus filled the city, it was not ceasing 
1(bur3) 2(esze3) 1/2(iku) GAN2 1(u) la2 1/2(disz)-ta| 1 bur3 2 eše3 1/2 iku surface area at 10 less 1 each, 
7(disz) {munus}asz2-gar3| 7 female kids, 
ki-en-gi ki-uri-a| in Sumer and Akkad 
u4-bi-a muszen gud3-bi-sze3 igi tab-ba a2-ur2 ba-bur2-bur2| At that time the bird, which was looking (carefully), (its) limbs were spread out(?) 
nig2-ak er2 igi-zu-a i3-gar-ra| The magic that has put tears in your eyes 
temen-zu {na4}gug| He has made the carnelian equal along/matched carnelian with(?) your foundation 
nu-silig-ge| never cease
udu bar-sal| thin(partially grown)-fleeced sheep 
szu u4-da an-ta ba-gal2-la-ke4-esz| Because the hand of the storm appeared above, 
dumu mah {d}en-ki-ke4| Supreme son of Enki 
nibru{ki}| of Nippur: 
1(disz) kusz szu eme6| 1 hide of old jenny, 
kiszib3 lu2-bi-mu| xxx 
{d}lugal-uru11{ki}-ka| of Lugalurub, 
u4 dam nu-zu re u4 dumu nu-zu re| the storm which knows no wife, the storm which knows no child, 
lu2-kar-ra-bi dub3 nu-um-zil-e bad3 za3-ga im-tab| (They) could not sprint away(?) as fugitives, (they) were seized(?) within the wall's limits 
{d}nin-mah mu-ni-us2| he seated Ninmaḫ.
sza3 mu-kux(DU)-ra-ta| from among the deliveries; 
tesz2-bi-sze3 gam-ma-am3| all had crouched together.
1(asz) sze-ba nimgir-inim-gi-na ug3-IL2| 1 (gur), barley rations of Nimgir-inimgina, the porter,
uri2{ki}-ma me nam-lugal-la bala-bi su3-su3-u4-de3| In order to obfuscate the me and the reign of kingship in Ur 
ugu-zu-sze3| In order to sustain deafness/obstinancy, (it is) upon/against you 
ugu2 lu2 lu2| one man the skull of another man
{disz}DI| To speak
{d}ba-ba6 lum-ma szu-mu-un-szi-ib2-gal2| it makes Luma extremely happy, 
u4-ba bala nam-lugal-la-ga2| At that time, during the term of my kingship,  
ki-be2 gi4-gi4-de3| to restore,
i3-gesz 2(ban2)-ta| 20 liters of sesame oil, 
3(barig) {gesz}pesz3 duru5 1(asz) 3(barig) gur-ta| 3 barig figs, fresh, at 1 gur 3 barig each, 
ku3-bi 1(disz) gin2| their silver: 1 shekel; 
ki ur-{d}nansze-ta| from Ur-Nanše;
si gu4 5(disz)-kam| horn of 5 oxen, 
gesztux(GISZ.TUG2) szum2-ma {d}en-ki-kam-me-en| I am one given wisdom by Enki 
lugal-sza3| for Lugal-ša
a-sza3 {d}amar-{d}suen-{d}szara2-ki-ag2| field Amar-Suen-of-Šara-beloved; 
sar-sar-ra nig2 mu-ni-ib-hul-hul| (You are) one who is destroying things/food in the garden, (you are) one who cannot sweeten the flesh (of the land?) 
8(disz) masz2-gal niga| 8 full-grown billy goats, grain-fed, 
e2 nam-nin-a-ka-ni| her house of ladyship,  
1(u) 1(asz) 3(barig) 4(ban2) 9(disz) sila3 i3-gesz| 11 gur 3 barig 4 ban2 9 sila3 sesame oil 
{gesz}e-ke4-ma-gu10 ganzer-sze3 mu-da-szub a-ba-a ma-ra-ab-e11-de3| My mallet (?) has fallen down to Ganzer—who will retrieve it for me? 
iti ezem-{d}nin-a-zu| month: “Festival of Ninazu,” 
{d}szu-i3-li-szu| Šu-ilišu,
ur-dab| cub 
dub mu-sar-ra| A tablet of the inscriptions
e2 lal3 i3-nun| the temple where date syrup, ghee,
szita2 husz-a za3 kesz2| with a fierce šita mace bound at his side, 
a-pi5-ak{ki}| of Apiak, 
ZI&ZI.LAGAB| rushes 
za3 an-ki-ke4 he2-en-dul| truly covered the edges of heaven and earth.
4(u) 2(disz) gurusz u4 1(disz)-sze3| 42 workdays, male laborers, 
a mu-ru| he dedicated it. 
in-pa3| did choose 
me kilib3-ba za3 kesz2| with all the divine powers bound to his side, 
e2 {d}szu-{d}suen lugal| xxx 
an {d}en-lil2 {d}en-ki {d}nin-mah-bi a2-bi ha-ba-an-ag2-esz-am3| An, Enlil, Enki and Ninmaḫ have given their orders! 
lugal-e {i7}idigna {i7}buranun-ke4| for the Tigris and the Euphrates 
iti kin-{d}inanna u4 5(disz)-kam| The month of Elūnum, the day 5
{iti}udru{duru5} u4 2(u) 4(disz)-kam| month “Udduru,“ 24th day, 
a-hu-ni| Aḫuni, 
e2-mu e2 sag-kal kur-kur-ra| My house, ‘chief house of all lands’, 
uru2-gu10 u8 zi-gin7 sila4-zu ba-e-da-til| My city, like a fecund ewe, your lamb is finished to my/your detriment(?) 
i3-he-nun-na lal3 ku7-ku7-da-gin7 su-ni bi2-ib2-ak-am3| the prince of all countries treated his body with oil of abundance as if it were the sweetest syrup! 
ki-la2-bi 5/6(disz) ma-na 3(disz) gin2| Their weight: 5/6 ma-na, 3 shekels. 
1(disz) ir7{muszen}| 1 pigeon, 
szunigin gig-bi 4(asz) 4(barig) 1(ban2) 1(disz) sila3 gur| total, its wheat: 4 gur 4 barig 1 ban2 1 sila3; 
mu us2-sa ur-bi2-lum{ki} ba-hul| xxx 
mu-dab5| he seized. 
szi-im-ma-ab-du3-en| And thus you produce food (for) the Anuna for their lives 
ga2-e dingir-gu10 a-na-am3 in-ak| "As for me, what did my god do?” 
izi ba-szum2-mu| or if fire be put to it, 
ku6-gu10 u4 zal-zal za-e ugu-gu10-usz ga2-nu| My fish, time elapses, come before me 
ud5 masz2 gaba| goat with suckling kids 
nin-dingir {d}ba-ba6| xxx 
mur| lungs 
i-na ki-sze2-er-szi2-im wa-asz2-ba-ku-ni tug2-hi-a ta-ta-ad-na-ni| in jail you sold textiles for me.
ma2 ki buru14| Like a boat exuding allure at the site of the harvest 
na-dib-be2| not pass by (her)! 
kas-ni 7(asz) dug| his beer was seven jugs 
6(disz) la2-e ki ha-ha-ze2| To yoke (a team of) six and hold the position 
nun nig2-gi-na| prince of the right, 
5(asz) kusz3-numun sa2| 5 seed-cubits squared: 
1(gesz2) 2(u) la2 1(disz) udu| 79 rams, 
gaba-ni ub3 ku3-ga-am3 i3-sag3-ge a uru2-gu10 im-me| She beats the holy ub drum at her chest, she cries “Alas, my city.” 
dumu sza3-nin-ga2| son of sza-ninga
x e e2-lugal-sze3| to the x ditch of royal household, 
ku6-gu10 ki-ib{muszen}-gu10 szu-sze3 ba-e-la2-e| My fish, my kib bird would bind you to (its) claws 
mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 na-ru2-a-mah {d}en-lil2 {d}nin-lil2-ra mu-ne-du3| year: “Šu-Suen, king of Ur, Great-Stele for Enlil and Ninlil erected.” 
mu didli sze-ba lu2 azlag2| xxx 
1(u) 4(barig) 3(ban2) 1(disz) 1/3(disz) sila3 5(disz) 1/2(disz) gin2 ga-UD gur| 10 gur 4 barig 3 ban2 1 1/3 sila3 5 1/2 shekels kašk cheese, 
men suh10 ku3-ga mu-ni-in-sig7| He made the pure crown and pectoral(?) verdant/beautiful(?) on (his body) 
lugal kur-kur-ra| the king of all the lands, 
nam-ti a-an-ne2-pa3-da-sze3| for the life of A’anepada 
muszen-e ku6 engur-ra mi-ni-in-ni10-ni10 sug mi-ni-in-kikken2| The bird was searching the fish in the deep water, it sought it in the marshes 
e2 mu-na-du3| built (his) temple. 
lugal e3 ak-me-en| I am the king who makes justice manifest 
da-num2| the mighty, 
igi su-bu-um| before Subum, 
ugula lugal-e2-mah-e| foreman: Lugal-Emaḫe, 
gu3-de2-a en {d}nin-gir2-su-ke4| Lord Ningirsu made Gudea 
a-a-ni-gin7 ge6 an-szeg6-ga2-ba he2-du7| like her father, perfect by night and in the heat of the day, 
{na4}kin2 ma-nu2| The millstone laid down for me, the mortar thrashed for me 
ur-{d}nammu lugal-e| by Ur-Namma the king. 
ur-GISZGAL| Ur-GIŠGAL. 
{d}en-lil2| when Enlil,
e2-ninnu im-ta-sikil-e-ne| they were cleaning Eninnu
2(u) 1(disz) erin2 u4 n-sze3| 21 labor-troops for n day(s),
bad3-bi du6-du6-ra mi-ni-szid| its walls I counted as ruined mounds.
3(asz) zi3 sig15 gur| 3 gur rough-ground flour, 
{d}nanna dumu zi-le| to Nanna, the good son, 
3(disz) udu 1(disz) masz2 ur-mes szabra| 3 sheep, 1 billy goat (from) Ur-mes, the household manager. 
mu-na-szum2| he gave to him. 
til-bi an-na ur3-ru14 he2-mi-gal2| may that one’s end produce a shutting(?) in heaven, 
u4 ge6-bi-ta ki-KI.KAL-bi-sze3| Day and night, at the appointed times, 
ki-la2-bi 1(u) gin2| Its weight: 10 shekels. 
lugal-mu gesztu3 nig2-sa6-ga-ka-ni| My King, By His Excellent Intelligence 
gu3 hul2 mu-ni-in-de2-esz| they spoke to him happily. 
ki-be2 mu-na-gi4| he restored for her, 
MUSZ3.KA.UL mu-un-se3-ga {gesz}gu2-ne-sag-ga2 mu-un-dab5-be2| Ur-Zababa appointed him cupbearer, putting him in charge of the drinks cupboard.
ku6-gu10 ubur-ri{muszen}-gu10 szu-sze3 ba-e-la2-e| My fish, my uburri bird would bind you to (its) claws 
a-na lu-zi-na qi2-bi-ma| To Luzina
sa2-du11 iti diri| regular offerings of month: “Extra,” 
{gesz}ma2 gid2-da| a towed boat; 
he2-en-szid| may he reckon.
kiszib3 ur-mes a-igi-du8| under seal of Ur-mes, the canal inspector; 
u4 {d}nanna| when Nanna
a2 ug3-IL2-bi u4 5(gesz'u)| The corresponding production of the porters: 3,000 days. 
masz2 babbar2 a ba-an-tu17-tu17| bathed a white kid; 
mu mu-sar| He inscribed (his) name, 
a mu-na-ru| I dedicated it to him/her.
ti na-na-szum2-mu| may he not give him life! 
nu-na-szum2-mu| he would not give him, 
5(disz) gin2 ku3 giri3 lu2-gi-na| 5 shekels of silver via Lugina; 
ki-bi-ta nu-tuku4 mu-gub| (But) from that place she did not move, she stayed there. 
2(disz) gin2 ku3-babbar| 2 shekels of silver, 
iti-kam| (a period of) months, 
mu mu-na-sa4| he named it. 
dingir-ra-ni| his/her god, 
u4 an-ne2 {d}en-lil2 {d}nanna-rum| When An, Enlil, and Nanna 
e2-szu-si3-ga-bi mu-ZA3| its Ešusiga house he widened(!), 
szunigin 2(esze3) 1(iku) 1/2(iku) 1/4(iku) GAN2 1(u) 1/2(disz)-ta| total: 2 eše3 1 3/4 iku surface area at 10 1/2 each; 
{d}inanna| For Inana, 
nam inim-ma diri-diri-sze3| something greatly beyond words (?) 
sze-bi 1(asz) gur| its barley 1 gur,
dumu a-pil-ku-bi| son of Apil-Kūbi, 
ama ki-ag2-na| his (Šū-Suen’s) beloved mother,
mu-un-sumun-am3| but had let become dilapidated, 
e-da-x-gar| he established. 
abzu-ta mu10 zi du11-ga-am3| was caressed from the abzu; 
8(disz) masz2| 8 goats, 
szu ba-ra-an-kar| has pulled out,
za3-mu-ka-sze3| for the new year (festival), 
ki mu-na-ag2| was loved. 
nin-mu {d}inanna| My mistress Inanna
bala-a zi-ga| from the bala booked out; 
ku6-e ki si-ga-a-asz mu-un-kin2| The fish sought the place silently 
3(disz) masz2 e2-a-szar sipa da-da gala-ka| 3 goats of Ea-šar, shepherd of Dada, the lamenter, 
giri3-mu luh-ha-ab-ze2-en {gesz}na2 gub-ba-ab-ze2-en ga-ba-nu2-e-sze| “My feet wash, my bed set up, I would lie down!” saying. 
nam-ti a-an-ne2-pa3-da-sze3| For the life of A’anepada, 
a-har-szi| (to) A-har-ši,
e2-an-na| The Eanna, your 3rd tavern 
u4 me-{d}isztaran| xxx 
la2-ia3 2(disz) 2/3(disz) gin2 2(u) sze ku3-babbar| deficit: 2 2/3 shekels 20 grains silver; 
gesz-szub-ba ti-le u4 da-ri2-ka-x sag-e-esz he2-en-ba| May a lot of living eternally be given (to him) as a gift(?) 
szunigin 4(asz) 3(barig) 2(ban2) 8(disz) 1/3(disz) sila3 7(disz) gin2 gazi gazx(KUM)| total: 4 gur 3 barig 2 ban2 8 1/3 sila3 7 shekels crushed sumac, 
mu us2-sa| year following. 
1(gesz2) 4(u) la2 1(disz) sar al 3(disz) sar-ta| 100 less 1 sar, hoed at 3 sar (per day), 
ki-bala hul| The rebel land, because of hatred of your Nanna/in the manner of (one) hated by your Nanna(?), may An hand it over 
iti nesag| from month “First-offering,” (month 4) 
a-da-lam an-ra ba-an-na-ab-be2 an-ne2 mu-e-duh-en| Now, she will speak to An, he will have released(!?) me 
duh-a {d}utu-me-en| I am the open-mouthed pirig creature (of) Utu 
a2 ga2-a-ar mu-un-ag2-en| he ordered me.
lu2 a2 nig2-hul-dim2-ma| A person who an act of wickedness (shall order) 
dal ki-sur-ra-ta| From the dividing line of the boundary 
gal2 tak4-a nig2 nu-dab-be2-me-en| I am experienced scribe who does not pass by anything 
dumu nu-ur2-{d}suen| son of Nūr-Adda,
mu us2-sa si-mu-ru-um{ki} lu-lu-bu-um{ki} a-ra2 1(u) la2 1(disz)-kam ba-hul| xxx 
lugal uri2{ki}-ma-ka-sze3| the king of Ur, 
kiszib3 ur-szu-ga-lam-ma| under seal of Ur-šugalama;
{d}utu an-ur2-ta e3-a-ba| As the sun rises from the horizon, 
gi-ba-sum| hedgehog? 
szu ku3-zu siskur2 ku3 sikil-e ma-ra-tag-ga-zu| Your choosing of the pure and holy siskur ritual 
mu en kar-zi-da| year: “Lord of Karzida.” 
7(asz) gun2 7(disz) ma-na-ka-ni szu-ni-a ba-an-dab5| which weighs 7 talents and 7 minas, in his hand he took; 
mu us2-sa e2 puzur4-isz-{d}da-gan-na ba-du3 mu us2-sa-bi| year following: “The temple of Puzriš-Dagan was built,” following that; 
mu-kux(DU) {d}szul-gi| delivery of Šulgi;
ur-{d}ur3-bar-tab| to Ur-Urbartab 
1(u) 7(disz) gu4| 17 oxen,
a-ra-zu-sze3| (and) prayers, 
gu2 erim2-gal2| the hostile territory
edin bar su3-ga-ka lu2 im-mi-in-nu2-u3-da| I have been made to lie down in the open, desolate steppe 
dub-sar-me| (they) are scribes;
sze14 bi2-in-gi| screeched.
umma{ki}-ta kar-sze3 ma2 zi3-da gid2-da u3 ma2 bala ak| from Umma to the quay flour barge punted and barge transferred; 
ambar-ambar-re ku6 muszen tum3 an-ne2 nam-kur2-re| That the marshes should support fish and fowl: may An not change it. 
sza3 e2 puzur4-isz-{d}da-gan| from in the temple of Puzriš-Dagan; 
mu-un-du3| he built it.  
{d}a-a| may Aia, 
ga-mu-ra-ab-szum2| (Who said) “Release (me), and I shall give my thick(er) companion ewe to you” 
kar nigin2| one frequenting the quay 
mu-un-ba-al-la-a| had excavated, 
{d}mes-lam-ta-e3| the god Meslamtaea 
szu ur3-ra zar3 tab-ba| leveled, sheaves piled up 
lal3 gesztin tesz2-ba sur-ra-a| brewing it with honey and wine.
2(u) la2 1(asz) nir3 ka-ba ku3-sig17| 19 nir3 (stones), their openings of gold. 
dumu nun-na e2-kisz-nu-gal2-la-na szu pe-el-la2 di-de3| to humiliate the princely son in his house E-kiš-nu-gal, 
alan ne2-ne2 ARAD-ga2| the statue of so-and-so, my servant, 
{d}dumu-zi dam ki ag2 {d}inanna-ra| to Dumuzid, the beloved husband of inanna, 
1(disz) li 4(disz) me 4(disz) u8-udu| 1404 sheep 
gi16-sa tesz2-e tag-tag-ga-da| all their treasures gathered together, 
sza3 nibru{ki}| (months) in Nippur. 
szid-da nig2-ka9| xxx 
abzu igi pirig-ga2 me al nu-di-de3| The Abzu, with the face of a pirig creature, (whose) cosmic powers are not to be requested 
igi {d}en-lil2-mu-ba-li2-it, dub-sar| before Enlil-muba(l)liṭ, the scribe.
1(disz) inim-{d}inanna-sze3| one Inim-Inanna-še, 
mu nam-lu2-u18-lu ba-an-gar-ra-a-ba| when the fame of mankind had been established, 
su-la2 masz SZA3| dried cut of a newborn kid 
sar 2/3(aszv) 1(asz) 2/3(aszv) gin2| of a plot 2/3, 1 2/3 (shekels); 
abzu e-ga-ka| The Abzu of the Levee 
ug3 sag-ge6-ga-ke4 %a ug3 s,a-al-ma-at qa2-qa2-di-im| the Black Headed People
a-a {d}en-ki {d}nin-szubur-ra-ke4 mu-na-ni-ib-gi4-gi4| Father Enki answered Ninšubur: 
a-a-ugu-ga2-sze3| the father who begot me, 
masz2 za-la2| parasite-ridden kid 
dur2 im-mi-in-gar-re-esz| They have sat down (in their thrones) among the true cosmic powers, the great powers, the cosmic powers of praise 
1(gesz2) 1(u) 1(asz) sze gur lugal| 611 gur of barley (according to the) king(’s standard); 
in ku6-e a-na mu-ni-in-dub2-ba| Whatever insults fish had assailed it with, (it did not ponder them) 
1(disz) lu2-{d}szara2| 1 Lu-Šara 
a-a-kal-la| for Ayakalla; 
GAN2 nibru{ki}-a| of the fields of Nippur, 
lu2-{d}nagar-pa-e3| Lu-Nagarpa’e, 
{d}szara2-ke4| of Šara, 
udu gukkal| fat-tailed sheep 
za3 na-ru2-a {d}szara2-kam| (This) is the frontier according to the stele of Šara: 
3(asz) ziz2 gur| 3 gur emmer, 
u4 2(u) la2 1(disz)-kam| it is on the 19th day (of the month), 
mu-ni kur-kur-ra| May his name in all the lands
dumu da-da-ga| son of Dadaga 
ak-ka-nu-um tir-ra-ni ku5-de3 me-e i-lu ga-am3-du11| (For) the wild donkey whose thicket is being cut, I want to lament 
dumu in-szi-in-tu-u4| also bore him a child,
gu-la| Gula, 
1(ban2) 2(disz) erin2 nig2-szu tu-ur-ma-lu-uk| 1 ban2 2: troops under the command of Turmaluk, 
ug3-bi nam-ba-til-le he2-em-me-ne-du11| “Let not its people perish,” I implored them. 
inim-ma-ni un-kid2-da| they have pinched off his words,  
da e2 u-bar-{d}utu| adjacent to the house of Ubar-šamaš;
igi zi mu-szi-in-bar-ra-a| cast a faithful eye,  
ri-ba-ga-da| (for) Ribagada, 
nig2-du7 pa bi2-e3| The cultic order emerged. 
nam ur za3-be2 pad-da| In the event that by a dog(?) it has been completely smashed 
gaba-ni bur szagan-gin7 nu-um-gid2| Her breasts are not full like a cagan vessel. 
(x) ARAD2-{d}suen| Warad-Sin, 
na-nam ul-dab sag na-nam| The thief is indeed a pirig monster, (but) after he is caught, he is indeed a slave 
alan-bi| This statue,
ri-im-{d}suen lugal an {d}en-lil2 kalam-ma pa e3| Rīm-Sîn, the king made manifest in the land by An and Enlil 
be6-lu5-da| To the cultic practices 
gu4 in-hun igi-bi in-hul| rented an ox and damaged its eye,
e2 ku3-ga-ni-sze3 du10-bi mu-un-ga2-ga2| To his silver house its goodness he sets, 
{gesz}ig i3 szesz2| doors anointed with oil  
nin si-a-ni e-du7 {d}ba-ba6 nig2-zu lu2 nu-zu| Lady whose horns are perfect (?), Baba, nobody can learn what you are; 
pa e-mi-e3| he made resplendent 
dim2| with discernment
u3 {d}{sze3}szer7-da| and (his consort) Šerda
sipa mu pa3-da an ku3-ge nam gal an-na tar| Shepherd nominated by holy An, (for whom) a great fate was determined in heaven 
igi zalag-ga-na| with his shining eyes 
sur2-du7-gin7-du| (The canal) Going-Like-a-Falcon 
i7 idigna gu2 min-a-ba| Both banks of the Tigris
asz-ne2-u18| xxx 
8(asz) sze gur im 1(u) 1(disz)-kam| 8 gur barley, 11th tablet. 
itima{+ma} e2 u4 nu-zu x x| The people saw (into) the itima chamber, the building where sunlight is unknown 
3(u) 6(asz) sar| 36 plots; 
{d}en-lil2-le kesz3{ki} za3-mi2 am3-ma-ab-be2| Enlil spoke the praises of Keš. 
gi-ra-num2-sze3| for the wailing ceremony;  
gen-ni| Go where your eye looks and sees 
nig2-sig8 4(disz)-gin7 erin2 tesz2-a nu-ub-si-ge| Like a comb with only 4 teeth(!?) you(?) do not bring the workforce(?) together 
mu nam-ti-la| Years of life 
{d}asz-im5-babbar2-ra| of Ašimbabbar, 
1(iku) GAN2 3(ban2) er3-mu maszkim| 1 iku field area: 3 ban2, Ermu, the enforcer; 
{gesz}gu-za ba-ra-da-tusz-u3-de3| on a chair, you will not sit,
e2 gurusz sag asz-ta| and the household of a single dependent worker
bar udu had2-ka| instead of a pure(?) sheep 
mu-na-ni-in-szum2-ma| he (Enki) had given to him regarding it, 
gidri szum2-ma| who was given the scepter 
ki lugal-dumu-ze2-ta| from Lugaldumuze(’s account) 
szabra-ne| the chief house administrators, 
dumu x| son(?)
kar-ke4-zu ka2 esz2-dam-ma-na-ka ni2 ha-ba-ni-ib-la2-e| May your prostitute hang herself at the entrance to her brothel! 
2(u) 1(disz) gurusz sza3-gu4| 21 male laborers, plowmen, 
GAN2-ne2 zi-de3 {gesz}al nu-ru-gu2-de3 numun ki nu-tag-ge-de3| So that the hoe does not penetrate the fertile field, so that the seed is not planted 
u4-ba bala nam-lugal-la-ga2| At that time, during the term of my kingship, 
igi-na tug2 bi2-si| and put a cloth (blindfold) over his eyes.
lu2-me-lam2 dumu ba-a| Lu-melam, son of Baya, 
ku3-bi 2(disz) gin2| its silver: 2 shekels; 
gi hu-mu-ri-in-szub gi| Therefore he felled reeds for you, he felled trees for you 
1(u) 5(disz) udu| 15 sheep 
gu-nigin2-ba 5(disz)-ta| in bales of 5 bundles each, 
lu2 dingir-mu-gin7| A (future) person whom, as did my god, 
dingir sag du-ga-na| the god who engendered him, 
galla tur ka ba-a-szi-bad-de6 galla gu-la-ra gu3 mu-na-de2-e| The junior galla demon opened his mouth and was speaking to the eldest galla demon 
gu3 de2-a-ni gesz ba-tuku-am3| His (Gudea’s) prayer was being heard. 
ugula ur-{gesz}gigir| foreman: Ur-gigir; 
tug2-du8 bar-SZUL ma-ra-ra-an-zi2-en| I(!?), the feltworker, “cut” the teasel brush(?) for you 
ki-ag2| the beloved 
mux(KAxSZE)-mux(KAxSZE) za-gin3-na mi2 im-ma-ri-in-du11| With incantations/noise(?) he has taken care of (your) lapis(?) 
1(u) 5(disz) 1/2(disz) gin2 ku3-babbar| 15 1/2 shekels of silver, 
he2-dab5 {gesz}tukul-e dab5-ba| (for) the captive(s) seized by the weapons;
ba-ar-tum| mongoose 
{d}en-lil2-le| Enlil Made
mu-ul-lil2-la2-e ka-ta e3-a-ni szu nu-bala-e-de3| That which issues from the mouth of Enlil is not to be changed/Enlil will not change that which issues from his mouth(?) 
u3 la2-ia3 su-ga-bi| xxx 
u-u8-a sza3-gu10 du11-ga-ni| “When she says “Oh my heart,” 
szunigin 6(disz) gin2 i3 szunigin 6(disz) gin2 naga| Total: 6 shekels of oil. Total: 6 shekels of potash.
kiszib3 ur-e2-an-na| under seal of Ur-Eanna,
erin2 giri3-se3-ga| xxx 
su-la2 TU| dried cut of a TU sheep 
szesz-a-ni engar dumu iri-bar-re| Šešani, the plowman, son of Iribare; 
ki USZ-ta| from UŠ; 
nam-ti| for the life of 
1(asz) kas mudx(LAK449) 1(asz) sa2-du11| and one mud vessel and one sadug vessel of beer 
igi ab-ba-iri{ki}| before the elders of the city
nibru{ki}-ta szeg12 uri2{ki}-ma-sze3| From Nibru to the brickwork of Urim 
al-il2-en e-sze| It is said “Donkey, huddle towards the fire(?), you are raising the flaccid penis” 
1(disz) 1/3(disz) ma-na la2 1/3(disz) gin2 1(u) sze ku3-babbar| 1 1/3 mana less 1/3 shekel, 10 grains of silver, 
e2 dur-an-ki-ka-ni| her Duranki temple 
2(bur3) 5(iku) 1/2(iku) GAN2 1(u)-ta| 1 bur3 5 1/2 iku surface area at 10 each, 
{d}gilgamesx(BIL3.GA.MES) en kul-aba4{ki}-ke4| Gilgamesh, the lord of Kulaba, 
ki u6-di kalam-ma-ka| a place of marvel of the nation 
a2-sze sza3 su-mu-ug tab2-tab2-ba-gu10| Even now the places of refuge of my people whose hearts are burning in dark distress 
nig2-erim2 nig2-a-zi| that evil and violence
{gesz}kesz2-ra2| a dam 
1(disz) gu4 niga| 1 fattened oxen,
1(disz) dumu-munus da-da nu-zah3-am3| It was (the case) that the daughter of Dada did not escape. 
e2-an-na-tum2-me| Eannatum 
u3 {d}nin-in-si-na| and the goddess Ninisina, 
e2-dub-ba-a-sze3 i3-du-de3-en| To the school I have been going. 
gesz-hur eridu{ki}-ga si sa2-sa2| who sets straight the divine plans of Eridu, 
1(disz) sila4 szu-gid2| 1 lamb, šugid offering, 
sa-sa-bi {uruda}szum-me szab-dam giri3-bi hu-ri2-in{muszen}-na-am3| Its muscles shall be saws that slash, its feet those of an eagle. 
szunigin sze-bi 4(gesz2) 1(asz) 4(barig) 3(ban2) gur| total, its barley: 241 gur 4 barig 3 ban2; 
kisal e2-gal-mah-a| who the courtyard of the Egalmah 
kiszib3 dab-ba| sealed documents of conveyance   
dub3 gal2-le bi2-du7-a| and athletic ability having perfected, 
si ma-ra-ni-in-sa2| I(?) did (the assignment?) correctly for you 
dumu| the daughter 
bur-na-bu-ri-ia-asz| Burnaburiaš, 
2(u) gug2| 20 cakes,
nu-hi-lum elam| Nuḫi-ilum of Elam, 
1(disz) sila4 ur-{d}suen dumu-lugal| 1 male lamb (from) Ur-Suen, the prince, 
